PRO ID 	Category 	UniProtKB ID 	

PR:000005195	gene	A2A6Q5; F1Q5X3; P10505; P30260; P38042; Q4V8A2; Q5ZK91; Q8LGU6; Q9VS37
PR:000005190	gene	F1LRQ6; O94556; P16522; Q19294; Q7ZVH3; Q86B11; Q8BGZ4; Q9I7L8; Q9STS3; Q9UJX2
PR:000005187	gene	B0S729; B3DNN5; P09798; P41889; Q13042; Q1ZXE6; Q4V884; Q8R349; Q9VCN6
PR:000005157	gene	P42932; P47079; P50990; P78921; Q552J0; Q6EE31; Q7K3J0; Q7ZU96; Q94K05; Q9N358
PR:000005153	gene	O04450; P40413; P47209; P48643; P80316; Q54TD3; Q68FQ0; Q6NVI6; Q7KKI0; Q9UTM4
PR:000005152	gene	P39078; P47208; P50991; P50999; P80315; Q54CL2; Q6PH46; Q7TPB1; Q9I8D6; Q9LV21; Q9VK69
PR:000005151	gene	O74341; P39077; P48605; P49368; P80318; Q54TH8; Q6P502; Q7T2P2; Q84WV1; Q9N4J8
PR:000004835	gene	E9QAE3; F1Q603; G5EF07; O14981; O43065; P32333; Q54M42; Q9VF02
PR:000004812	gene	P29056; Q20429; Q54U85; Q8CFK2; Q92994; Q9P6R0; Q9VEL2
PR:000004776	gene	E7F349; F4IDR3; O94653; Q08965; Q14692; Q54JS8; Q6PGF5; Q9N306; Q9VVC9
PR:000004684	gene	D3ZB65; E1BUA8; O64885; O74907; Q06338; Q23402; Q54MU5; Q5BJJ7; Q9CWI3; Q9P287; Q9VFR0
PR:000004016	gene	B2RYJ1; B8JLK0; P34514; Q551S9; Q874R3; Q8BZQ7; Q9UJX6; Q9W1E5
PR:000004014	gene	D3ZXH8; Q08BH9; Q20052; Q54L48; Q7KA43; Q9CPX9; Q9NYG5; Q9UT86
PR:000003943	gene	F1QPS1; F4IBV4; G3V6U3; P43636; Q19265; Q7KWM5; Q96WW6; Q9DBE8; Q9H553; Q9VZU8
PR:000003942	gene	E1C1M5; F1QA33; O14199; P38242; Q54G73; Q6AY85; Q84R09; Q96F25; Q9D081; Q9VXU7
PR:000003854	gene	O13639; O23255; P10760; P10819; P23526; P27604; P39954; P50247; Q27580; Q803T5
PR:000003591	gene	O44734; P53743; Q4KLM5; Q503Z6; Q54BL2; Q6NM71; Q9QYL7; Q9ULW3; Q9W394
PR:000003568	gene	D3ZD23; P61221; P61222; Q03195; Q6TNW3; Q8LPJ4; Q8T8P2; Q8YD77; Q9U2K8; Q9VSS1
PR:000003534	gene	Q06631; Q55E65; Q5ZIM6; Q9FLK0; Q9GUM5; Q9JKX4; Q9NY61; Q9QYW0; Q9US05; Q9VM95
PR:000002340	sequence	P28070-1; P99026-1
PR:000002209	gene	A8E7N8; H9L0U6; P28070; P30657; P34067; P90868; P99026; Q556Q0; Q7DLR9; Q9USQ9; Q9VNA5
PR:000000181	sequence	P63208-2
PR:000000180	sequence	P63208-1; Q5ZKF5-1; Q6PEC4-1; Q9WTX5-1
PR:000000045	gene	G5ECU1; O77430; P52286; P63208; Q5ZKF5; Q6PBY8; Q6PEC4; Q9WTX5; Q9Y709

PR:000007165	gene	O00835; O13768; P19447; P49135; Q00578; Q02870; Q4G005; Q5ZKK7; Q7ZVV1; Q95PZ4
PR:000006981	gene	E1C6T8; O02195; P40217; P79083; Q13347; Q54MT0; Q7ZV55; Q965S8; Q9QZD9
PR:000006973	gene	E1BSS3; O74760; P23116; P34339; P38249; Q14152; Q1JU68; Q6PCR7; Q86B20; Q9LD55; Q9VN25
PR:000006964	gene	A1ZA22; B1AUN2; P09032; P56288; P70541; P80361; Q1G3F7; Q54FQ8; Q7ZTY5; Q9NR50
PR:000006498	gene	F1Q749; O14007; O17919; O44081; O60832; P33322; P40615; Q54T81; Q5ZJH9; Q9ESX5; Q9LD90
PR:000006473	gene	A1Z9L3; A2A4P0; E7F7E3; O42643; P24384; Q09530; Q14562; Q38953; Q54F05
PR:000006472	gene	F1QND0; F4K2E9; P34498; Q80X98; Q92620; Q9P774; Q9VY54
PR:000006377	gene	O74974; P40498; Q54HT2; Q5M9G7; Q5ZLG3; Q68CQ4; Q6PEH4; Q8BTT6; Q8H1E7; Q9U2I4; Q9W1G1
PR:000006370	gene	O74764; P25808; P34640; Q54EC2; Q5ZLN8; Q6ZPL9; Q8JHJ2; Q8NHQ9; Q9FLB0; Q9VHU1
PR:000006369	gene	O49289; Q09719; Q12389; Q54CD8; Q688Z4; Q8JGR2; Q8K4L0; Q8SY39; Q8TDD1
PR:000006356	gene	F1QLW8; O61815; Q03532; Q09916; Q54S03; Q5XHY0; Q8K363; Q9NVP1; Q9VD51
PR:000006281	gene	F1R246; O74407; P04802; P14868; P15178; Q03577; Q5ZJQ6; Q75JQ1; Q7K0E6; Q922B2; Q9M084
PR:000006266	gene	A7E2L0; O13113; O14238; P46964; P52872; P61803; P61804; P61805; Q54FB6; Q9VLM5
PR:000006059	gene	P53333; Q08C72; Q17336; Q55G70; Q5ZKA3; Q8C5N3; Q9HCG8; Q9P6R9; Q9SAG7; Q9VJ87
PR:000005978	gene	F1M4W7; F1QIB2; O14233; P25298; P25991; Q12996; Q19866; Q54LG7; Q5F4A0; Q8GUP1; Q99LI7
PR:000005929	gene	D3ZPR0; E1BV44; O13671; P33307; P55060; Q54E36; Q7SZC2; Q965V4; Q9ERK4; Q9XZU1; Q9ZPY7
PR:000005829	gene	D3Z9E6; F1NMN0; F1QVV4; O17403; O35218; O74740; Q55BS1; Q9LKF9; Q9P2I0; Q9V3D6
PR:000005734	gene	P23514; P41810; P45437; P53618; Q23924; Q5ZIA5; Q66HV4; Q9JIF7; Q9TYL9; Q9UUF7
PR:000005687	gene	D3ZZM3; F1NHU0; O74990; Q06096; Q29RB1; Q55FT5; Q8LDU5; Q8R1U1; Q95TN4; Q95XZ0; Q9H9E3
PR:000005598	gene	E7F3I6; P52874; Q08685; Q10299; Q54N48; Q5PQL4; Q5ZJL4; Q7K284; Q92989; Q99LI9; Q9SR06
PR:000005372	gene	E1C5B2; F1QTS7; G3V821; O15182; O35648; O74435; P06704
PR:000005265	gene	E1C8L2; G5EFV5; P06242; P50613; P51952; P54685; Q03147; Q12126; Q24216; Q2V6H0
PR:000005218	gene	B0UYI0; D4A8S5; O00311; O01493; P06243; Q9Z0H0
PR:000005215	gene	E1BYS7; O74113; O75419; O96989; Q08032; Q55GA4; Q7JMR0; Q7ZU79; Q9LSG6; Q9Z1X9

PR:000008316	gene	B8JHR3; E1BXD0; O94424; P13984; P41896; P41900; Q01750; Q54KT7; Q8MYM8; Q8R0A0; Q9LQZ4
PR:000008313	gene	A2BIH7; O13749; O16991; P29052; P29055; P62915; P62916; Q00403; Q54FD6
PR:000008310	gene	O08949; O44625; P52654; P52655; Q5TYT6; Q99PM3; Q9USU9
PR:000008181	gene	D4A7C0; O01426; Q08726; Q54TE7; Q56XY2; Q6PUR6; Q8VEJ1; Q9H9Y4; Q9UTL7; Q9VU67
PR:000008180	gene	F1R8Z3; O42906; P46577; P47122; Q54C25; Q8VCE2; Q8W586; Q9HCN4; Q9V3R3
PR:000008076	gene	A3QMC8; D4A746; O74484; P41940; Q54K39; Q6DBU5; Q7JZB4; Q8BTZ7; Q9Y5P6
PR:000008024	gene	E1BT81; O94652; Q0WPZ7; Q12315; Q4KLN4; Q53GS7; Q55FW7; Q6DRB1; Q8R322; Q9V4W1
PR:000007985	gene	F1QJF7; Q03406; Q499W2; Q55EA2; Q6NQP5; Q99LZ3; Q9BRT9; Q9P7C8; Q9U2W9; Q9VBI1
PR:000007984	gene	D3Z9I4; E1C7B9; F1QXM4; Q12146; Q54EH6; Q6NNH6; Q9BL54; Q9BRX5; Q9CY94; Q9UTC3; Q9W2V7
PR:000007983	gene	D3ZSY6; O62193; O94329; P40359; Q4VBJ6; Q54BL9; Q9C7A8; Q9D600; Q9VQY9; Q9Y248
PR:000007982	gene	B2RZ16; F1RAD9; Q12488; Q14691; Q22019; Q54HR6; Q9CZ15; Q9P7X6; Q9SSC0; Q9W0I7
PR:000007940	gene	A4QNU9; O14144; O44975; P27882; P55789; P56213; Q63042; Q75JQ5; Q7KUU5; Q8GXX0
PR:000007591	gene	A1L1V1; O44501; O60052; P29703; P49354; Q04631; Q54RT9; Q61239; Q9VR31
PR:000007452	gene	E7FB58; O59710; P22570; P48360; P56522; Q54KG7; Q61578; Q8W3L1; Q9U1X0; Q9V3T9
PR:000007449	gene	F1QEG3; O14230; O62336; P05369; P08524; P14324; Q7KN61; Q920E5; Q9NH03
PR:000007448	gene	B8JKU0; F1NFJ9; P29704; P36596; P37268; P53798; P53799; Q02769; Q54DR1
PR:000007433	gene	O13610; O82346; Q05498; Q1RP75; Q55GM5; Q93638; Q9CTH6; Q9VL75; Q9Y324
PR:000007427	gene	F1RCB5; Q8VBV4; Q93794; Q969H0
PR:000007347	gene	F1Q820; O42849; P15624; Q19713; Q550D2; Q5ZJ61; Q68FT7; Q9NSD9; Q9SGE9; Q9VCA5; Q9WUA2
PR:000007346	gene	O42870; P15625; Q1JPX3; Q505J8; Q54KS8; Q8C0C7; Q9GYS8; Q9T034; Q9W3J5; Q9Y285
PR:000007262	gene	F1LSX7; G5EG59; O42894; P53256; Q54Q83; Q9CRA8; Q9LX74; Q9NQT4; Q9VGZ2
PR:000007256	gene	F1QE13; O54924; P38261; Q5ZJ43; Q6PGF7; Q7KRZ3; Q8IYI6; Q95Q35
PR:000007252	gene	B0BLY0; B0G163; O00471; O13705; P97878; Q06245; Q18406; Q3TPX4; Q8RVQ5; Q9XTM1
PR:000007214	gene	E1BTM1; O16520; P12385; P62495; P79063; Q5U2Q7; Q803E5; Q8BWY3; Q9BMX0; Q9VPH7

PR:000011081	gene	D3ZF13; E1C4C0; F1R611; O14561; O80800; P32463; Q10217; Q54E22; Q94519; Q9CR21; Q9U241
PR:000011057	gene	A2AI05; E1BY65; O94613; Q12181; Q54JL0; Q6NPS8; Q6PFP6; Q9UHB4; Q9VSJ5
PR:000011024	gene	A2BG39; P38170; Q15003; Q54DR4; Q564K3; Q8C156; Q9VIP9; Q9Y7R3
PR:000011022	gene	A1Z987; D3ZD72; E1C181; E9PWG6; F1QJY8; F4K790; Q06680; Q10429; Q9BPX3
PR:000010600	gene	D4A131; O17005; Q503X2; Q54RB5; Q8VY61; Q9BYD3; Q9DCU6; Q9V3D0
PR:000010548	gene	A8MQN4; B1WC86; P40986; Q53F39; Q54X09; Q566Y9; Q5ZK82; Q80XL7; Q95X35; Q9UUH0; Q9VLR9
PR:000010540	gene	O43014; P00946; P29952; P34650; P34949; Q54PA0; Q68FX1; Q924M7; Q9VH77
PR:000010536	gene	E7F5L8; G3V968; O00566; O13910; P47083; Q54X28; Q810V0; Q9FJY5; Q9VLK1; Q9XW58
PR:000010306	gene	D4A7V2; E1C6N9; O43513; Q08278; Q7ZV35; Q95Q17; Q9CZB6; Q9GYV9; Q9LYW3
PR:000010305	gene	E1BZ92; F4IXJ7; O75586; P38782; Q54PN3; Q6IQ63; Q8MSX2; Q921D4; Q9N337; Q9US45
