PRO ID 	PRO Name 	PRO Term Definition 	Category 	Parent 	

PR:000004862	bystin	A protein that is a translation product of the human BYSL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000004861	ribosome production factor 1	A protein that is a translation product of the human RPF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003937	chitobiosyldiphosphodolichol beta-mannosyltransferase	A protein that is a translation product of the human ALG1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003915	delta-aminolevulinic acid dehydratase	A protein that is a translation product of the human ALAD gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003794	adenylosuccinate lyase	A protein that is a translation product of the human ADSL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003610	acetyl-CoA acetyltransferase, mitochondrial	A protein that is a translation product of the human ACAT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003529	alanine--tRNA ligase, cytoplasmic	A protein that is a translation product of the human AARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000002339	proteasome subunit beta type-2 isoform 1	A proteasome subunit beta type-2 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:P49721-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002208
PR:000002257	26S proteasome non-ATPase regulatory subunit 6 isoform 1	A 26S proteasome non-ATPase regulatory subunit 6 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q99JI4-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002182
PR:000002250	26S proteasome non-ATPase regulatory subunit 2 isoform 1	A 26S proteasome non-ATPase regulatory subunit 2 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q8VDM4-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002180
PR:000002248	26S proteasome non-ATPase regulatory subunit 13 isoform 1	A 26S proteasome non-ATPase regulatory subunit 13 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q9UNM6-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002179
PR:000002247	26S proteasome non-ATPase regulatory subunit 12 isoform 1	A 26S proteasome non-ATPase regulatory subunit 12 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:O00232-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002178
PR:000002246	26S proteasome non-ATPase regulatory subunit 11 isoform 1	A 26S proteasome non-ATPase regulatory subunit 11 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q8BG32-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002177
PR:000002245	26S proteasome non-ATPase regulatory subunit 1 isoform 2	A 26S proteasome non-ATPase regulatory subunit 1 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q99460-2 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002176
PR:000002244	26S proteasome non-ATPase regulatory subunit 1 isoform 1	A 26S proteasome non-ATPase regulatory subunit 1 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q99460-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002176
PR:000002208	proteasome subunit beta type-2	A protein that is a translation product of the human PSMB2 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001
PR:000002182	26S proteasome non-ATPase regulatory subunit 6	A protein that is a translation product of the human PSMD6 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001
PR:000002180	26S proteasome non-ATPase regulatory subunit 2	A protein that is a translation product of the human PSMD2 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001
PR:000002179	26S proteasome non-ATPase regulatory subunit 13	A protein that is a translation product of the human PSMD13 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001
