PRO ID 	Category 	UniProtKB ID 	

PR:000004862	gene	F1R7L3; O54825; O60071; P38333; P51406; Q13895; Q20932; Q54IS0; Q80WL2; Q8RWS4
PR:000004861	gene	O14180; P38805; P54073; Q54MN3; Q5RJS9; Q6IQU6; Q7TND5; Q9H9Y2; Q9M125; Q9VKB4
PR:000003937	gene	B3H5N4; E1BRK4; F1Q8U9; O13933; P16661; P90522; Q22797; Q921Q3; Q9BT22; Q9VEE9
PR:000003915	gene	B8JLK4; P05373; P06214; P0ACB2; P10518; P13716; P78974; Q55E06; Q9SFH9; Q9VTV9
PR:000003794	gene	D3ZW08; F1R293; O60105; P0AB89; P21265; P30566; P54822; Q05911; Q21774; Q54J34; Q8GUN7; Q9VEP6
PR:000003610	gene	E1C0Q5; P17764; P24752; P41338; Q22100; Q6AZA0; Q86AD9; Q8QZT1; Q9UQW6; Q9W3N9
PR:000003529	gene	O01541; O13914; P36428; P40825; P49588; Q1LVL3; Q54Y20; Q8BGQ7; Q9VLM8
PR:000002339	sequence	P40307-1; P49721-1; Q9R1P3-1
PR:000002257	sequence	Q15008-1; Q99JI4-1; Q9V3G7-1
PR:000002250	sequence	Q13200-1; Q4FZT9-1; Q8VDM4-1
PR:000002248	sequence	B0BN93-1; P84169-1; Q9UNM6-1; Q9WVJ2-1
PR:000002247	sequence	O00232-1; Q9D8W5-1
PR:000002246	sequence	F1LMZ8-1; O00231-1; Q8BG32-1
PR:000002245	sequence	Q99460-2
PR:000002244	sequence	Q3TXS7-1; Q99460-1
PR:000002208	gene	P22141; P40307; P49721; P91477; Q09720; Q55DY7; Q6DHI9; Q9R1P3; Q9VJJ0
PR:000002182	gene	F1QZA5; Q06103; Q10335; Q15008; Q20585; Q55C75; Q6PCT9; Q93Y35; Q99JI4; Q9V3G7
PR:000002180	gene	F1R334; P38764; P87048; Q13200; Q4FZT9; Q54BC6; Q8VDM4; Q9GZH5; Q9SIV2; Q9VW54
PR:000002179	gene	B0BN93; P84169; Q04062; Q22253; Q54NQ0; Q7KMP8; Q9UNM6; Q9US13; Q9WVJ2
PR:000002178	gene	F1NPQ0; O00232; Q12250; Q19324; Q54UJ0; Q5XIC6; Q8AW07; Q9D8W5; Q9UTM3; Q9V3Z4
PR:000002177	gene	F1LMZ8; F6P3G4; O00231; Q12377; Q20938; Q54UB5; Q7KLV9; Q8BG32; Q9LP45; Q9P7S2
PR:000002176	gene	F1QY43; O74762; O88761; P32565; Q18115; Q3TXS7; Q54JM5; Q5F418; Q99460; Q9V3P6
PR:000000177	sequence	P62877-1; P62878-1
PR:000000043	gene	A4FUL3; E1BSR9; O13959; P62877; P62878; Q08273; Q23457; Q498D8; Q54K33; Q9W5E1

PR:000006685	gene	O14348; O45550; Q01658; Q08BR1; Q55DJ5; Q5XI68; Q5ZMV3; Q91WV0; Q92317; Q9VJQ5
PR:000006656	gene	D4A8N1; F4HUK8; O14466; O60762; O70152; P14020; Q54LP3; Q6DEJ9; Q9TYJ7; Q9VIU7
PR:000006643	gene	A2BFS6; P07286; P0CD61; P42867; P42881; Q6P4Z8; Q9H3H5; Q9U1Z2; Q9VK30
PR:000006635	gene	A1ZAI1; D3ZLM6; F1R8F1; F4J4C8; Q56VX7; Q8R2Y3; Q9UPQ8; R4GI61
PR:000006554	gene	F1Q892; F4HXR6; P38859; P51530; Q20371; Q5ZKG3; Q6ZQJ5; Q86IV6; Q8IRL9; Q9URU2
